Training on device: cpu
Timestep: 2048/200000 | Elapsed: 32s | AvgReward(100): -51.68
Timestep: 4096/200000 | Elapsed: 72s | AvgReward(100): -48.95
Timestep: 6144/200000 | Elapsed: 111s | AvgReward(100): -47.81
Timestep: 8192/200000 | Elapsed: 150s | AvgReward(100): -45.31
Timestep: 10240/200000 | Elapsed: 192s | AvgReward(100): -42.87
Timestep: 12288/200000 | Elapsed: 237s | AvgReward(100): -42.48
Timestep: 14336/200000 | Elapsed: 284s | AvgReward(100): -41.44
Timestep: 16384/200000 | Elapsed: 329s | AvgReward(100): -42.18
Timestep: 18432/200000 | Elapsed: 372s | AvgReward(100): -43.79
Timestep: 20480/200000 | Elapsed: 414s | AvgReward(100): -40.59
Timestep: 22528/200000 | Elapsed: 459s | AvgReward(100): -33.44
Timestep: 24576/200000 | Elapsed: 509s | AvgReward(100): -33.81
Timestep: 26624/200000 | Elapsed: 572s | AvgReward(100): -35.17
Timestep: 28672/200000 | Elapsed: 626s | AvgReward(100): -34.54
Timestep: 30720/200000 | Elapsed: 678s | AvgReward(100): -32.63
Timestep: 32768/200000 | Elapsed: 722s | AvgReward(100): -30.90
Timestep: 34816/200000 | Elapsed: 771s | AvgReward(100): -31.48
Timestep: 36864/200000 | Elapsed: 816s | AvgReward(100): -24.13
Timestep: 38912/200000 | Elapsed: 862s | AvgReward(100): -18.56
Timestep: 40960/200000 | Elapsed: 906s | AvgReward(100): -9.83
Timestep: 43008/200000 | Elapsed: 950s | AvgReward(100): -4.37
Timestep: 45056/200000 | Elapsed: 996s | AvgReward(100): -4.34
Timestep: 47104/200000 | Elapsed: 1041s | AvgReward(100): 0.77
Timestep: 49152/200000 | Elapsed: 1086s | AvgReward(100): -0.10
Timestep: 51200/200000 | Elapsed: 1131s | AvgReward(100): 3.89
Timestep: 53248/200000 | Elapsed: 1176s | AvgReward(100): 6.65
Timestep: 55296/200000 | Elapsed: 1221s | AvgReward(100): 10.70
Timestep: 57344/200000 | Elapsed: 1266s | AvgReward(100): 14.56
Timestep: 59392/200000 | Elapsed: 1310s | AvgReward(100): 17.97
Timestep: 61440/200000 | Elapsed: 1355s | AvgReward(100): 31.66
Timestep: 63488/200000 | Elapsed: 1400s | AvgReward(100): 38.98
Timestep: 65536/200000 | Elapsed: 1444s | AvgReward(100): 48.70
Timestep: 67584/200000 | Elapsed: 1488s | AvgReward(100): 56.90
Timestep: 69632/200000 | Elapsed: 1533s | AvgReward(100): 80.85
Timestep: 71680/200000 | Elapsed: 1577s | AvgReward(100): 94.95
Timestep: 73728/200000 | Elapsed: 1620s | AvgReward(100): 94.85
Timestep: 75776/200000 | Elapsed: 1664s | AvgReward(100): 110.58
Timestep: 77824/200000 | Elapsed: 1709s | AvgReward(100): 120.03
Timestep: 79872/200000 | Elapsed: 1753s | AvgReward(100): 126.63
Timestep: 81920/200000 | Elapsed: 1798s | AvgReward(100): 136.11
Timestep: 83968/200000 | Elapsed: 1842s | AvgReward(100): 148.31
Timestep: 86016/200000 | Elapsed: 1887s | AvgReward(100): 158.85
Timestep: 88064/200000 | Elapsed: 1932s | AvgReward(100): 161.18
Timestep: 90112/200000 | Elapsed: 1976s | AvgReward(100): 173.76
Timestep: 92160/200000 | Elapsed: 2021s | AvgReward(100): 180.19
Timestep: 94208/200000 | Elapsed: 2066s | AvgReward(100): 187.17
Timestep: 96256/200000 | Elapsed: 2111s | AvgReward(100): 183.47
Timestep: 98304/200000 | Elapsed: 2155s | AvgReward(100): 178.65
Timestep: 100352/200000 | Elapsed: 2200s | AvgReward(100): 174.01
Timestep: 102400/200000 | Elapsed: 2247s | AvgReward(100): 174.21
Timestep: 104448/200000 | Elapsed: 2294s | AvgReward(100): 173.57
Timestep: 106496/200000 | Elapsed: 2340s | AvgReward(100): 173.15
Timestep: 108544/200000 | Elapsed: 2386s | AvgReward(100): 172.80
Timestep: 110592/200000 | Elapsed: 2432s | AvgReward(100): 171.92
Timestep: 112640/200000 | Elapsed: 2477s | AvgReward(100): 171.90
Timestep: 114688/200000 | Elapsed: 2522s | AvgReward(100): 171.62
